Catégorie,Nom du Produit,Prix
High-Tech,"Amazon Fire TV Stick HD (Nouvelle génération) | TV gratuite et en direct, télécommande vocale Alexa, contrôle de la maison connectée, streaming HD","44,99 €"
High-Tech,"Tapo 2K(3MP) Caméra Surveillance WiFi intérieure 360° C210, Vision nocturne, Notifications en temps réel, Détection de personne, Suivi de mouvement, Télécommande, Compatible avec Alexa","16,58 €"
High-Tech,"Aioneus Chargeur USB C, 40W 4 Port Prise USBC Chargeur Rapide iPhone, Multi Secteur PD+QC 3.1A Type C Adaptateur pour iPhone 16 15 14 13 12 11 Pro Max X XS XR 8 7 6S Plus Mini SE, iPad,Samsung Galaxy","9,99 €"
High-Tech,Apple AirTag,"30,07 €"
High-Tech,"INIU Batterie Externe, 22.5W 10000mAh Power Bank, Batterie Portable USB C Input & Output PD3.0 QC4.0 Charge Rapide Powerbank Compatible avec iPhone 16 15 14 13 12 Pro Max Plus Samsung iPad Pro etc","16,22 €"
High-Tech,Imou 2K(3MP) Caméra Surveillance WiFi Intérieure Caméra 360° Connectée Smartphone avec Détection Humaine AI Suivi Intelligent Sirène Audio Bidirectionnel Compatible Alexa pour Bébé/Animaux,"18,99 €"
High-Tech,Batterie Externe 20000mAh 22.5W PD3.0 QC4.0 Power Bank Batterie Portable USB C Input & Output Charge Rapide Powerbank avec écran LCD Compatible avec Smartphones smartwatches etc,"10,99 €"
High-Tech,"JBL GO 4, Enceinte Bluetooth ultra-portable, son JBL Pro, basses percutantes, 7 heures d'autonomie, fonction Playtime Boost, résistante à l'eau et à la poussière IP67, noir","37,44 €"
High-Tech,"Duracell Plus Piles AAA (lot de 12) - Alcalines 1,5V - Jusqu’à 100% plus longtemps - Idéales pour les appareils du quotidien - Emballage 0% plastique - Conservation 10 ans - LR03 MN2400","6,66 €"
High-Tech,"Chargeur for iPhone 14/14 Pro /14 Pro Max /14 Plus /13 12 11 SE Mini X XS XR, 25W USB C Prise Rapide et 2M Cable Secteur Mural Type C Alimentation Adaptateur Trefard","12,99 €"
High-Tech,Amazon Basics Lot de 40 piles alkaline AA industrielles,"10,80 €"
High-Tech,"Apple AirPods 4 Écouteurs sans Fil, Casques et écouteurs Bluetooth, Audio Spatial personnalisé, résistance à la Transpiration et l’Eau, boîtier de Charge USB-C, Puce H2, Jusqu’à 24 Heures d’autonomie","116,73 €"
High-Tech,"Duracell Plus Piles AA (lot de 12) - Alcalines 1,5V - Jusqu’à 100% plus longtemps - Idéales pour les appareils du quotidien - Emballage 0% plastique - Conservation 10 ans - LR6 MN1500","6,66 €"
High-Tech,"DURACELL CR2032 Piles Boutons au lithium 3V (lot de 4) - Jusqu’à +70 % de longévité - Technologie Sécurité Enfant - Recommandées pour l’AirTag d’Apple - Clés, appareils maison, sport et médicaux","5,53 €"
High-Tech,"Energizer Piles AAA, Alkaline Power, Lot de 16, Pile alcaline","9,16 €"
High-Tech,Apple EarPods avec connecteur Lightning ​​​​​​​,"16,82 €"
High-Tech,"VARTA Piles Bouton CR2032, lot de 5, Power on Demand, Lithium, 3V, emballage sécurisé pour les enfants, pour petits appareils électroniques - clés de voiture, télécommandes, balances","7,56 €"
High-Tech,Energizer Lithium Batteries 2032 - 6 pack,"5,04 €"
High-Tech,Apple Lot de 4 AirTags,"115,00 €"
High-Tech,"FNTCASE Coque pour iPhone 13 : iPhone 14 iPhone 16e - Protection magnétique Militaire Contre Les Chutes - Anti-jaunissement - Coque de Protection Robuste et Durable résistante aux Chocs - 6,1""","8,32 €"
High-Tech,"Lot de 2 pour Chargeur Rapide iPhone, 20W PD USB-C Prise Secteur avec 2m Câble USB C vers Lightning pour iPhone 14/14 pro/13/13 Pro/13 Pro Max/13 Min","14,99 €"
High-Tech,"DURACELL CR2032 Piles Boutons au lithium 3V (lot de 8) - Jusqu’à +70 % de longévité - Technologie Sécurité Enfant - Recommandées pour l’AirTag d’Apple - Clés, appareils maison, sport et médicaux","9,94 €"
High-Tech,"Nouvel Amazon Kindle Paperwhite (16 Go) | Notre modèle le plus rapide avec un nouvel écran antireflets de 7"" et une autonomie de plusieurs semaines | Sans publicités | Noir","179,99 €"
High-Tech,SAMSUNG Galaxy A05s 4GB+64GB [Version Internationale] (Noir),"99,97 €"
High-Tech,"Ecouteurs Bluetooth sans Fil,Bluetooth 5.3 Ecouteurs sans Fil,Ecouteurs Hi-FI Son Stéréo,Écouteurs 35H Durée de Lecture CVC Réduction de Bruit USB C Casque Bluetooth for iOS Galaxy Xiaomi Oppo Android","16,99 €"
High-Tech,"Power Bank 27000mAh 22.5W PD3.0 QC4.0 Batterie Externe Fast Charge Rapide Powerbank Portable avec écran LCD USB C Input & Output Chargeur Compatible avec Smartphone, tablettes","16,99 €"
High-Tech,"Apple AirPods Pro 2 Écouteurs sans Fil, Casques et écouteurs Bluetooth, Réduction Active du Bruit, Appareil auditif, Mode Transparence, Audio Spatial personnalisé, Son Haute-fidélité, Recharge USB-C","224,66 €"
High-Tech,"JBL TUNE 510BT – Casque supra-auriculaire sans fil – Equipé de la technologie Bluetooth – Connection multi-points – Léger, confortable et pliable – Jusqu’à 40 hrs d’écoute – Noir","28,29 €"
High-Tech,"Energizer Piles AA, Alkaline Power, Lot de 24, Pile alcaline","12,91 €"
