Catégorie,Nom du Produit,Prix,Évaluation (étoiles),Nombre d'Avis,URL
High-Tech,"Amazon Fire TV Stick HD (Nouvelle génération) | TV gratuite et en direct, télécommande vocale Alexa, contrôle de la maison connectée, streaming HD","44,99 €","4,5 sur 5 étoiles",1 771,https://www.amazon.fr/fire-tv-stick-hd/dp/B0CQMWQDH4/ref=zg_bs_g_electronics_d_sccl_1/262-8199833-7886959?psc=1
High-Tech,"Tapo 2K(3MP) Caméra Surveillance WiFi intérieure 360° C210, Vision nocturne, Notifications en temps réel, Détection de personne, Suivi de mouvement, Télécommande, Compatible avec Alexa","16,58 €","4,5 sur 5 étoiles",31 825,https://www.amazon.fr/Tapo-Surveillance-int%C3%A9rieure-Notifications-T%C3%A9l%C3%A9commande/dp/B095CLQ1PT/ref=zg_bs_g_electronics_d_sccl_2/262-8199833-7886959?psc=1
High-Tech,"Aioneus Chargeur USB C, 40W 4 Port Prise USBC Chargeur Rapide iPhone, Multi Secteur PD+QC 3.1A Type C Adaptateur pour iPhone 16 15 14 13 12 11 Pro Max X XS XR 8 7 6S Plus Mini SE, iPad,Samsung Galaxy","9,99 €","4,5 sur 5 étoiles",11 032,https://www.amazon.fr/Aioneus-Chargeur-Secteur-Adaptateur-Samsung/dp/B0CYSQPXDV/ref=zg_bs_g_electronics_d_sccl_3/262-8199833-7886959?psc=1
High-Tech,Apple AirTag,"30,07 €","4,6 sur 5 étoiles",124 093,https://www.amazon.fr/Apple-MX532ZMA-Nouveau-AirTag/dp/B0935DN1BN/ref=zg_bs_g_electronics_d_sccl_4/262-8199833-7886959?psc=1
High-Tech,"INIU Batterie Externe, 22.5W 10000mAh Power Bank, Batterie Portable USB C Input & Output PD3.0 QC4.0 Charge Rapide Powerbank Compatible avec iPhone 16 15 14 13 12 Pro Max Plus Samsung iPad Pro etc","16,22 €","4,6 sur 5 étoiles",25 168,https://www.amazon.fr/INIU-Batterie-10500mAh-Chargeur-T%C3%A9l%C3%A9phone/dp/B08JTQ66K7/ref=zg_bs_g_electronics_d_sccl_5/262-8199833-7886959?psc=1
High-Tech,Imou 2K(3MP) Caméra Surveillance WiFi Intérieure Caméra 360° Connectée Smartphone avec Détection Humaine AI Suivi Intelligent Sirène Audio Bidirectionnel Compatible Alexa pour Bébé/Animaux,"18,99 €","4,4 sur 5 étoiles",40 392,https://www.amazon.fr/Imou-Surveillance-Int%C3%A9rieure-Intelligent-Bidirectionnel/dp/B08X6DCJT2/ref=zg_bs_g_electronics_d_sccl_6/262-8199833-7886959?psc=1
High-Tech,Batterie Externe 20000mAh 22.5W PD3.0 QC4.0 Power Bank Batterie Portable USB C Input & Output Charge Rapide Powerbank avec écran LCD Compatible avec Smartphones smartwatches etc,"10,99 €","4,4 sur 5 étoiles",28,https://www.amazon.fr/Batterie-Powerbank-Compatible-Smartphones-smartwatches/dp/B0DPSGQMQ9/ref=zg_bs_g_electronics_d_sccl_7/262-8199833-7886959?psc=1
High-Tech,"JBL GO 4, Enceinte Bluetooth ultra-portable, son JBL Pro, basses percutantes, 7 heures d'autonomie, fonction Playtime Boost, résistante à l'eau et à la poussière IP67, noir","37,44 €","4,7 sur 5 étoiles",6 289,https://www.amazon.fr/JBL-Ultra-Portable-percutantes-dautonomie-r%C3%A9sistante/dp/B0CX5C6WP3/ref=zg_bs_g_electronics_d_sccl_8/262-8199833-7886959?psc=1
High-Tech,"Duracell Plus Piles AAA (lot de 12) - Alcalines 1,5V - Jusqu’à 100% plus longtemps - Idéales pour les appareils du quotidien - Emballage 0% plastique - Conservation 10 ans - LR03 MN2400","6,66 €","4,7 sur 5 étoiles",48 806,https://www.amazon.fr/Piles-AAA-Duracell-Plus-lot-Conservation/dp/B093LT2N4Q/ref=zg_bs_g_electronics_d_sccl_9/262-8199833-7886959?psc=1
High-Tech,"Chargeur for iPhone 14/14 Pro /14 Pro Max /14 Plus /13 12 11 SE Mini X XS XR, 25W USB C Prise Rapide et 2M Cable Secteur Mural Type C Alimentation Adaptateur Trefard","12,99 €","4,4 sur 5 étoiles",165,https://www.amazon.fr/Chargeur-Secteur-Alimentation-Adaptateur-Trefard/dp/B0D17L15YV/ref=zg_bs_g_electronics_d_sccl_10/262-8199833-7886959?psc=1
